itemid,shopid,liked_count,cmt_count,discount,shop_location,shop_rating,name,historical_sold,price,rating_star,rating_count,rcount_with_context,status,Date
20030969576,18363975,25677,9675,11%,HÃ  Ná»™i,4.931227,"Sá»¯a Rá»­a Máº·t CeraVe SA Smoothing, Hydrating, Foaming Cleanser - Cho Da Dáº§u Má»¥n, KhÃ´, Nháº¡y Cáº£m 88ml â€“ 236ml â€“ 473ml",35701,9200000000,4.906667,9675,5639,normal,3/10/2024
19527695224,18363975,20032,6504,40%,HÃ  Ná»™i,4.931227,"NÆ°á»›c Táº©y Trang L'Oreal Paris 3in1 Micellar Water 95ml - 400ml, LÃ m Sáº¡ch, DÆ°á»¡ng áº¨m Cho Má»i Loáº¡i Da Loreal",23141,6600000000,4.922202,6504,4034,normal,3/10/2024
21407947288,18363975,18760,2611,4%,HÃ  Ná»™i,4.931227,NÆ°á»›c Hoa Há»“ng CÃ¢n Báº±ng Da Simple Soothing Facial Toner 200ml - Dá»‹u Nháº¹ Cho Da Nháº¡y Cáº£m - Dr ThÃªm,8489,11500000000,4.932976,2611,1441,normal,3/10/2024
14185378989,18363975,14582,8600,47%,HÃ  Ná»™i,4.931225,NÆ°á»›c Táº©y Trang Simple Micellar Cleansing Water 200ml / 400ml - Dá»‹u Nháº¹ Cho Da Nháº¡y Cáº£m,28022,7900000000,4.922916,8602,5430,normal,3/10/2024
10001549800,18363975,29919,19065,22%,HÃ  Ná»™i,4.931228,Sá»¯a Rá»­a Máº·t SVR Cho Da Dáº§u Má»¥n - SVR Sebiaclear Gel Moussant 55ml-200ml-400ml Loáº¡i Bá» Táº¿ BÃ o Da Cháº¿t SRM,69948,10900000000,4.915548,19068,10715,normal,3/10/2024
5451541710,18363975,34791,36707,32%,HÃ  Ná»™i,4.931228,"Megaduo Gel/Plus Gamma 15g-30g, Gel Giáº£m Má»¥n áº¨n, ThÃ¢m, Äáº§u Äen Cho Da Dáº§u Má»¥n - Dr ThÃªm",122030,12700000000,4.95017,36711,23982,normal,3/10/2024
19127946184,18363975,22451,10746,26%,HÃ  Ná»™i,4.931226,NÆ°á»›c LÃ m Sáº¡ch VÃ  Táº©y Trang Cho Má»i Loáº¡i Da Garnier Micellar Cleansing Water 125ml / 400ml,39977,4600000000,4.94185,10748,7268,normal,3/10/2024
2421653980,18363975,70822,105372,42%,HÃ  Ná»™i,4.93123,"Derma Forte 15g - Gamma, Báº£n ThÆ°á»ng / Advanced, Gel GiÃºp Giáº£m Má»¥n Trá»©ng CÃ¡, Ngá»«a ThÃ¢m, Má» Sáº¹o, Da Dáº§u Má»¥n - Dr ThÃªm",318053,9500000000,4.946715,105385,63402,normal,3/10/2024
19142365893,18363975,16768,3175,41%,HÃ  Ná»™i,4.931228,NÆ°á»›c Táº©y Trang Eveline Hyaluron Clinic B5 Ultra Moisturising Micellar Water DÆ°á»¡ng áº¨m Cho Da 500ml - Dr ThÃªm,11967,17600000000,4.945512,3175,2093,normal,3/10/2024
22633042956,18363975,589,1522,18%,HÃ  Ná»™i,4.931227,Kem Chá»‘ng Náº¯ng Sunplay Skin Aqua Tone Up Essence / UV Milk - Lavender SPF50+ PA++++ - Hiá»‡u Chá»‰nh Sáº¯c Da Dáº¡ng Sá»¯a 50g,5248,15200000000,4.910644,1522,1059,normal,3/10/2024
16870222597,18363975,4779,14823,37%,HÃ  Ná»™i,4.931227,"Sá»¯a Rá»­a Máº·t Simple Refreshing Facial Wash 150ml - Dá»‹u Nháº¹ Cho Da Dáº§u Má»¥n, Nháº¡y Cáº£m",50785,4200000000,4.92232,14830,9610,normal,3/10/2024
23232932577,18363975,5707,15340,32%,HÃ  Ná»™i,4.93123,Sá»¯a Rá»­a Máº·t Hada Labo Advanced Nourish / Perfect White / Acne Care / Pro Anti Aging Cleanser 80g - Kem Rá»­a Máº·t DÆ°á»¡ng áº¨m,56928,6790000000,4.909529,15342,10109,normal,3/10/2024
